SampleID,Dup,Abs1,Abs2,StdSet,Standard
B01,A,0.18,0.179,28-Jun,Blank
B01,B,0.116,0.116,28-Jun,Blank
B02,A,0.143,0.144,28-Apr,Blank
B02,B,0.13,0.129,28-Apr,Blank
B03,A,0.124,0.123,7-Mar,Blank
B03,B,0.114,0.115,7-Mar,Blank
B04,A,0.108,0.11,28-Jun,Blank
B04,B,0.111,0.112,28-Jun,Blank
B05,A,0.133,0.134,28-Jun,Blank
B05,B,0.102,0.101,28-Jun,Blank
B06,A,0.123,0.127,28-Jun,Blank
B06,B,0.122,0.123,28-Jun,Blank
B07,A,0.13,0.129,28-Jun,Blank
B07,B,0.15,0.15,28-Jun,Blank
B08,A,0.118,0.117,28-Jun,Blank
B08,B,0.147,0.147,28-Jun,Blank
S101,A,0.152,0.153,29-Jun,S1
S101,B,0.108,0.108,29-Jun,S1
S201,A,0.21,0.211,29-Jun,S2
S201,B,0.138,0.14,29-Jun,S2
S301,A,0.215,0.215,29-Jun,S3
S301,B,0.195,0.196,29-Jun,S3
S401,A,0.446,0.446,29-Jun,S4
S401,B,0.416,0.417,29-Jun,S4
S501,A,0.987,0.985,29-Jun,S5
S501,B,0.969,0.97,29-Jun,S5
B09,A,0.12,0.118,29-Jun,Blank
B09,B,0.129,0.13,29-Jun,Blank
B10,A,0.114,0.114,29-Jun,Blank
B10,B,0.108,0.107,29-Jun,Blank
B11,A,0.129,0.128,29-Jun,Blank
B11,B,0.116,0.117,29-Jun,Blank
B12,A,0.124,0.125,29-Jun,Blank
B12,B,0.123,0.123,29-Jun,Blank
B13,A,0.147,0.147,29-Jun,Blank
B13,B,0.107,0.108,29-Jun,Blank
B14,A,0.155,0.155,29-Jun,Blank
B14,B,0.138,0.139,29-Jun,Blank
B15,A,0.113,0.113,29-Jun,Blank
B15,B,0.111,0.11,29-Jun,Blank
B16,A,0.103,0.103,29-Jun,Blank
B16,B,0.13,0.131,29-Jun,Blank
B17,A,0.231,0.231,29-Jun,Blank
B17,B,0.128,0.128,29-Jun,Blank
B18,A,0.19,0.19,29-Jun,Blank
B18,B,0.199,0.198,29-Jun,Blank
B19,A,0.126,0.127,29-Jun,Blank
B19,B,0.146,0.145,29-Jun,Blank
B20,A,0.141,0.141,29-Jun,Blank
B20,B,0.127,0.127,29-Jun,Blank
B21,A,0.223,0.223,29-Jun,Blank
B21,B,0.301,0.301,29-Jun,Blank
B22,A,0.109,0.11,29-Jun,Blank
B22,B,0.133,0.133,29-Jun,Blank
B23,A,0.307,0.307,29-Jun,Blank
B23,B,0.124,0.124,29-Jun,Blank
B24,A,0.145,0.144,29-Jun,Blank
B24,B,0.126,0.128,29-Jun,Blank
B25,A,0.152,0.151,29-Jun,Blank
B25,B,0.112,0.112,29-Jun,Blank
B26,A,0.138,0.138,29-Jun,Blank
B26,B,0.181,0.18,29-Jun,Blank
B27,A,0.312,0.312,29-Jun,Blank
B27,B,0.118,0.116,29-Jun,Blank
S102,A,0.105,0.104,30-Jun,S1
S102,B,0.124,0.125,30-Jun,S1
S103,A,0.174,0.174,30-Jun,S1
S103,B,0.141,0.141,30-Jun,S1
S104,A,0.202,0.201,30-Jun,S1
S104,B,0.114,0.114,30-Jun,S1
S105,A,0.311,0.311,30-Jun,S1
S105,B,0.237,0.236,30-Jun,S1
S106,A,0.148,0.148,30-Jun,S1
S106,B,0.168,0.167,30-Jun,S1
S107,A,0.111,0.114,30-Jun,S1
S107,B,0.119,0.119,30-Jun,S1
S108,A,0.144,0.144,30-Jun,S1
S108,B,0.152,0.152,30-Jun,S1
S109,A,0.137,0.137,30-Jun,S1
S109,B,0.15,0.15,30-Jun,S1
S110,A,0.12,0.12,30-Jun,S1
S110,B,0.181,0.18,30-Jun,S1
S111,A,0.118,0.119,30-Jun,S1
S111,B,0.125,0.126,30-Jun,S1
S112,A,0.119,0.119,30-Jun,S1
S112,B,0.12,0.122,30-Jun,S1
S113,A,0.151,0.15,30-Jun,S1
S113,B,0.113,0.115,30-Jun,S1
S202,A,0.222,0.221,3-Jul,S2
S202,B,0.173,0.173,3-Jul,S2
S203,A,0.164,0.163,3-Jul,S2
S203,B,0.183,0.184,3-Jul,S2
S204,A,0.145,0.146,3-Jul,S2
S204,B,0.257,0.256,3-Jul,S2
S205,A,0.307,0.305,3-Jul,S2
S205,B,0.151,0.15,3-Jul,S2
S206,A,0.144,0.145,3-Jul,S2
S206,B,0.146,0.143,3-Jul,S2
S207,A,0.283,0.282,3-Jul,S2
S207,B,0.153,0.153,3-Jul,S2
S208,A,0.14,0.141,3-Jul,S2
S208,B,0.139,0.137,3-Jul,S2
S209,A,0.171,0.171,3-Jul,S2
S209,B,0.175,0.176,3-Jul,S2
S210,A,0.241,0.24,3-Jul,S2
S210,B,0.274,0.273,3-Jul,S2
S211,A,0.151,0.152,3-Jul,S2
S211,B,0.134,0.135,3-Jul,S2
S212,A,0.143,0.143,3-Jul,S2
S212,B,0.163,0.164,3-Jul,S2
S213,A,0.18,0.181,3-Jul,S2
S213,B,0.257,0.257,3-Jul,S2
S302,A,0.323,0.323,3-Jul,S3
S302,B,0.17,0.171,3-Jul,S3
S303,A,0.177,0.177,3-Jul,S3
S303,B,0.159,0.158,3-Jul,S3
S304,A,0.191,0.19,3-Jul,S3
S304,B,0.222,0.223,3-Jul,S3
S305,A,0.233,0.233,3-Jul,S3
S305,B,0.176,0.175,3-Jul,S3
S306,A,0.2,0.2,3-Jul,S3
S306,B,0.174,0.175,3-Jul,S3
S307,A,0.204,0.203,3-Jul,S3
S307,B,0.188,0.188,3-Jul,S3
S308,A,0.166,0.166,3-Jul,S3
S308,B,0.167,0.168,3-Jul,S3
S309,A,0.177,0.178,3-Jul,S3
S309,B,0.195,0.196,3-Jul,S3
S310,A,0.256,0.257,3-Jul,S3
S310,B,0.18,0.179,3-Jul,S3
S311,A,0.21,0.21,3-Jul,S3
S311,B,0.222,0.222,3-Jul,S3
S312,A,0.188,0.187,3-Jul,S3
S312,B,0.182,0.182,3-Jul,S3
S313,A,0.266,0.266,3-Jul,S3
S313,B,0.174,0.176,3-Jul,S3
S402,A,0.443,0.444,3-Jul,S4
S402,B,0.408,0.408,3-Jul,S4
S403,A,0.393,0.394,3-Jul,S4
S403,B,0.445,0.445,3-Jul,S4
S404,A,0.406,0.405,3-Jul,S4
S404,B,0.406,0.405,3-Jul,S4
S405,A,0.409,0.408,3-Jul,S4
S405,B,0.445,0.444,3-Jul,S4
S406,A,0.499,0.499,3-Jul,S4
S406,B,0.435,0.434,3-Jul,S4
S407,A,0.417,0.419,3-Jul,S4
S407,B,0.418,0.415,3-Jul,S4
S408,A,0.436,0.436,3-Jul,S4
S408,B,0.419,0.419,3-Jul,S4
S409,A,0.451,0.451,3-Jul,S4
S409,B,0.503,0.502,3-Jul,S4
S410,A,0.461,0.461,3-Jul,S4
S410,B,0.424,0.425,3-Jul,S4
S411,A,0.42,0.419,3-Jul,S4
S411,B,0.447,0.447,3-Jul,S4
S412,A,0.471,0.471,3-Jul,S4
S412,B,0.431,0.43,3-Jul,S4
S413,A,0.454,0.454,3-Jul,S4
S413,B,0.432,0.432,3-Jul,S4
S502,A,0.995,0.995,3-Jul,S5
S502,B,1.022,1.021,3-Jul,S5
S503,A,1.001,1,3-Jul,S5
S503,B,1.056,1.055,3-Jul,S5
S504,A,1.021,1.02,3-Jul,S5
S504,B,1.039,1.04,3-Jul,S5
S505,A,0.998,0.998,3-Jul,S5
S505,B,0.981,0.982,3-Jul,S5
S506,A,1.054,1.055,3-Jul,S5
S506,B,1.01,1.01,3-Jul,S5
S507,A,1.003,1.006,3-Jul,S5
S507,B,1.123,1.125,3-Jul,S5
S508,A,0.982,0.982,3-Jul,S5
S508,B,1.042,1.042,3-Jul,S5
S509,A,0.984,0.984,3-Jul,S5
S509,B,0.993,0.993,3-Jul,S5
S510,A,0.996,0.997,3-Jul,S5
S510,B,1.096,1.093,3-Jul,S5
S511,A,1.031,1.029,3-Jul,S5
S511,B,1.053,1.053,3-Jul,S5
S512,A,1.023,1.022,3-Jul,S5
S512,B,1.028,1.033,3-Jul,S5
S513,A,1.069,1.067,3-Jul,S5
S513,B,1.048,1.048,3-Jul,S5
