MIS_ID,treatment_code,inoculation,moisture_treatment,design_notes
MIS_182,D2_01,water,saturate_rewet,rep1
MIS_183,D2_02,growth_media,saturate_rewet,rep1
MIS_184,D2_03,xanthan_high,saturate_rewet,rep1
MIS_185,D2_04,xanthan_low,saturate_rewet,rep1
MIS_186,D2_05,model_bacterium,saturate_rewet,rep1
MIS_187,D2_06,LTER_I_soil,saturate_rewet,rep1
MIS_188,D2_07,LTER_NI_soil,saturate_rewet,rep1
MIS_189,D2_08,model_bacterium_plus_LTER_I_soil,saturate_rewet,rep1
MIS_190,D2_09,model_bacterium_plus_LTER_NI_soil,saturate_rewet,rep1
MIS_191,D2_10,model_bacterium,kPa_-1,rep1
MIS_192,D2_01,water,saturate_rewet,rep2
MIS_193,D2_02,growth_media,saturate_rewet,rep2
MIS_194,D2_03,xanthan_high,saturate_rewet,rep2
MIS_195,D2_04,xanthan_low,saturate_rewet,rep2
MIS_196,D2_05,model_bacterium,saturate_rewet,rep2
MIS_197,D2_06,LTER_I_soil,saturate_rewet,rep2
MIS_198,D2_07,LTER_NI_soil,saturate_rewet,rep2
MIS_199,D2_08,model_bacterium_plus_LTER_I_soil,saturate_rewet,rep2
MIS_200,D2_09,model_bacterium_plus_LTER_NI_soil,saturate_rewet,rep2
MIS_201,D2_10,model_bacterium,kPa_-1,rep2
MIS_202,D2_01,water,saturate_rewet,rep3
MIS_203,D2_02,growth_media,saturate_rewet,rep3
MIS_204,D2_03,xanthan_high,saturate_rewet,rep3
MIS_205,D2_04,xanthan_low,saturate_rewet,rep3
MIS_206,D2_05,model_bacterium,saturate_rewet,rep3
MIS_207,D2_06,LTER_I_soil,saturate_rewet,rep3
MIS_208,D2_07,LTER_NI_soil,saturate_rewet,rep3
MIS_209,D2_08,model_bacterium_plus_LTER_I_soil,saturate_rewet,rep3
MIS_210,D2_09,model_bacterium_plus_LTER_NI_soil,saturate_rewet,rep3
MIS_211,D2_10,model_bacterium,kPa_-1,rep3
MIS_212,D2_01,water,saturate_rewet,rep4
MIS_213,D2_02,growth_media,saturate_rewet,rep4
MIS_214,D2_03,xanthan_high,saturate_rewet,rep4
MIS_215,D2_04,xanthan_low,saturate_rewet,rep4
MIS_216,D2_05,model_bacterium,saturate_rewet,rep4
MIS_217,D2_06,LTER_I_soil,saturate_rewet,rep4
MIS_218,D2_07,LTER_NI_soil,saturate_rewet,rep4
MIS_219,D2_08,model_bacterium_plus_LTER_I_soil,saturate_rewet,rep4
MIS_220,D2_09,model_bacterium_plus_LTER_NI_soil,saturate_rewet,rep4
MIS_221,D2_10,model_bacterium,kPa_-1,rep4
MIS_222,D2_01,water,saturate_rewet,rep5
MIS_223,D2_02,growth_media,saturate_rewet,rep5
MIS_224,D2_03,xanthan_high,saturate_rewet,rep5
MIS_225,D2_04,xanthan_low,saturate_rewet,rep5
MIS_226,D2_05,model_bacterium,saturate_rewet,rep5
MIS_227,D2_06,LTER_I_soil,saturate_rewet,rep5
MIS_228,D2_07,LTER_NI_soil,saturate_rewet,rep5
MIS_229,D2_08,model_bacterium_plus_LTER_I_soil,saturate_rewet,rep5
MIS_230,D2_09,model_bacterium_plus_LTER_NI_soil,saturate_rewet,rep5
MIS_231,D2_10,model_bacterium,kPa_-1,rep5
