CNH2_Field_ID,PerCMoisture
IL001_S_A,13.10653145785628
IL001_S_B,7.4395730877890545
IL006_S_A,15.900552486187847
IL006_S_B,10.85220435400941
IL011_S,26.424805423047953
ILC2038_S,17.025049878075816
ILC1005_S,22.10753720595295
ILC2031_S,22.487752419643915
ILC2034_S,13.80921338548458
ILC2035_S,11.962305986696222
ILC2037_S,17.576891591626712
ILC2041_S,15.438202247191022
ILC2042_S,15.365353972228545
ILC3051_S,18.38647011770084
ILC3053_S,25.574425574425558
IN027_S_A,8.215040773180304
IN033_S,14.659513904094576
INC1011_S,17.40139211136891
INC1012_S,24.521759923481593
INC1014_S,16.15850177001257
INC1019_S,22.642848692771796
INC3064_S,17.104207268141696
INC3065_S,16.670498965279375
MI005_S,15.75178997613365
MI007_S,18.05840748345881
MI010_S,12.34923093947106
MI012_S_A,19.87179487179487
MI012_S_B,23.35098700048147
MI012_S_C,19.920966992096698
MI015_S_A,8.849557522123906
MI015_S_B,13.51761517615176
MI018_S_B,15.876540468524478
MI019_S,19.413489736070378
MI029_S,12.913315460232353
MI034_S_A,19.184763674369986
MI034_S_B,9.332218622635587
MIC1001_S,20.642146879118233
MIC1013_S,19.16637801639533
MIC1017_S,18.401596056800855
MIC1018_S,19.123907685413393
MIC1020_S,19.1822865285542
MIC1027_S,22.296912384641686
MIC2034_S,17.97240278252937
MIC3051_S,17.908640616400653
MIC3053_S,16.017510382759017
MIC3056_S,17.32070365358591
MIC3058_S_A,14.94252873563218
MIC3058_S_B,15.159119425116907
MIC3061_S,9.799957437752722
MIC3070_S,11.738024117712136
IL010_S,23.467499421697884
IL015_S,20.2412106041643
IL017_S,27.839670622426727
ILC1011_S,25.962732919254666
ILC1014_S,25.649663137632345
ILC1019_S,22.626409603492174
ILC3067_S,24.752952518679187
IN003_S,14.835711915034844
IN005_S,17.382901318781254
IN006_S,13.88295600170867
INC1001_S,17.24614321897305
INC1020_S,24.95972239434876
INC2037_S,23.518141539935336
INC2039_S,21.407731582786287
INC2046_S,20.755813953488367
INC2048_S,24.398791540785496
INC3067_S,23.977536320351607
MIC1021_S,19.17698303530491
Dairy1_I,13.264398487880802
Dairy1_NI,12.571492654480215
LTER_I,19.374777130631163
LTER_NI,16.96602219425695
MI010_S_C,11.267760766604255
ILC2031_2,23.241590214067283
NE_I,22.66418722786647
NE_NI,27.27836971138927
