SH1_ID,FM_Soil_Mass_g,PerCMoisture,Notes,CNH2_ID_Field,ABS,glu_ug_mL,soilmassOD,glu_g_OD,EPS_ug_glu_g_soil
SH1_009,1.09,13.80921339,analytical duplicate,SH1_009,0.34185000000000004,18.09834701832516,0.9394795740490001,19.264226193151075,115.58535715890645
SH1_010,1.08,13.80921339,analytical duplicate,SH1_009,0.34572500000000006,18.454471819469486,0.9308604953880001,19.82517456794352,118.95104740766112
SH1_023,1.05,17.10420727,analytical duplicate,SH1_023,0.31825,15.929432100388123,0.8704058236650001,18.301155239649464,109.8069314378968
SH1_024,1.07,17.10420727,analytical duplicate,SH1_023,0.384475,22.0157198309127,0.8869849822110001,24.820848461305175,148.92509076783105
SH1_045,1.09,17.97240278,analytical duplicate,SH1_045,0.33425000000000005,17.399882892209845,0.8941008096980001,19.460761810613942,116.76457086368364
SH1_046,1.04,17.97240278,analytical duplicate,SH1_045,0.31772500000000004,15.881182933781478,0.853087011088,18.61613496321685,111.6968097793011
SH1_057,0.96,23.46749942,analytical duplicate,SH1_057,0.28874999999999995,13.218288452966831,0.734712005568,17.991115366010494,107.94669219606297
SH1_057,0.96,23.46749942,analytical duplicate,SH1_057,0.28874999999999995,13.218288452966831,0.734712005568,17.991115366010494,107.94669219606297
SH1_058,1.07,23.46749942,analytical duplicate,SH1_057,0.365975,20.31551110286884,0.818897756206,24.80836093261723,148.85016559570337
SH1_059,1.06,20.2412106,analytical duplicate,SH1_059,0.3435,18.249987256231773,0.84544316764,21.586296932501604,129.51778159500964
SH1_060,0.94,20.2412106,analytical duplicate,SH1_059,0.23575000000000002,8.3474202050574,0.74973262036,11.133862897747745,66.80317738648647
